Я;Я;Я;Я;c;Я;Я;Я;Я;Я;Я;Я
29;4;51;37;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
65;52;63;24;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
45;93;10;33;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
23;89;55;48;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
86;25;25;29;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;хярхмю;1
34;54;51;35;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
9;95;10;18;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
56;96;79;21;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
66;39;98;18;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
26;75;33;33;хярхмю;кнфэ;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;1
62;10;1;43;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
66;9;49;35;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
10;100;98;2;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
38;87;23;47;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
84;53;74;17;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
49;85;11;34;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
97;21;77;39;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
79;87;100;19;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
48;86;97;29;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
47;80;51;18;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
62;96;13;25;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
28;18;36;3;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
86;20;3;1;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
59;74;77;29;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
46;97;95;39;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
55;80;42;44;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
60;24;55;40;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
72;94;9;40;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
83;56;89;26;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
82;14;69;1;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
17;56;57;22;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
26;97;34;24;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
16;97;82;47;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
85;11;58;49;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
17;84;89;7;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
97;34;47;15;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
25;50;50;10;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;хярхмю;1
11;77;45;7;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
55;28;36;37;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
30;35;51;27;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
46;24;47;31;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
45;30;42;35;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
99;76;93;36;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
53;4;46;47;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
63;59;54;49;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
27;76;17;43;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
87;67;91;39;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
57;49;34;13;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
58;30;1;32;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
30;56;32;41;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
63;89;49;20;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
64;7;49;12;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
40;61;43;12;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
70;100;89;29;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
35;68;26;25;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
84;100;50;47;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
48;1;8;49;хярхмю;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;кнфэ;0
