;;;;;;п;;;;;;неп;;;;;;;;;;;;
37;83;24;19;37;41;37;0;0;0;37;0;0;83;24;19;0;41;0;0;1;1;0;0;2
59;77;43;43;118;38;0;0;43;43;0;0;59;77;0;0;118;38;0;0;0;0;0;0;0
6;65;40;22;6;130;6;0;0;0;6;0;0;65;40;22;0;130;0;0;0;1;0;0;1
63;77;76;8;63;51;63;0;0;0;63;0;0;77;76;8;0;51;0;0;0;1;0;0;1
74;47;97;26;222;23;0;0;0;0;0;0;74;47;97;26;222;23;0;0;0;1;0;1;2
48;24;17;7;24;36;0;24;0;0;24;0;48;0;17;7;0;36;0;0;1;1;0;1;3
27;39;77;35;27;13;27;0;0;0;27;0;0;39;77;35;0;13;0;0;0;1;0;1;2
35;41;6;21;52;41;0;41;0;0;0;41;35;0;6;21;52;0;1;0;1;1;0;0;3
46;32;95;3;23;32;0;32;0;0;0;32;46;0;95;3;23;0;0;0;0;1;1;0;2
34;43;72;42;17;43;0;43;0;0;0;43;34;0;72;42;17;0;1;0;0;0;1;0;2
2;57;76;39;4;57;0;57;0;0;0;57;2;0;76;39;4;0;1;0;0;0;1;0;2
61;90;53;26;61;135;61;0;0;0;61;0;0;90;53;26;0;135;0;0;0;1;0;0;1
89;95;54;7;89;95;89;95;0;0;89;95;0;0;54;7;0;0;0;0;0;1;0;0;1
9;64;76;12;9;21;9;0;0;0;9;0;0;64;76;12;0;21;0;0;0;1;0;1;2
38;60;40;25;12;180;0;0;0;0;0;0;38;60;40;25;12;180;0;0;0;1;1;0;2
89;49;74;2;44;49;0;49;0;0;0;49;89;0;74;2;44;0;0;0;0;1;0;0;1
7;87;92;45;4;261;0;0;0;0;0;0;7;87;92;45;4;261;1;0;0;0;1;0;2
15;34;76;21;10;51;0;0;0;0;0;0;15;34;76;21;10;51;1;1;0;1;1;0;4
3;54;48;25;3;27;3;0;0;0;3;0;0;54;48;25;0;27;0;0;0;1;0;1;2
55;87;22;23;55;261;55;0;0;0;55;0;0;87;22;23;0;261;0;0;1;1;0;0;2
10;72;80;47;6;108;0;0;0;0;0;0;10;72;80;47;6;108;1;0;0;0;1;0;2
59;24;45;50;59;24;59;24;0;0;59;24;0;0;45;50;0;0;0;0;0;0;0;0;0
1;12;39;14;3;12;0;12;0;0;0;12;1;0;39;14;3;0;1;0;0;1;1;0;3
37;8;44;4;37;8;37;8;0;0;37;8;0;0;44;4;0;0;0;0;0;1;0;0;1
14;7;80;25;14;10;14;0;0;0;14;0;0;7;80;25;0;10;0;1;0;1;0;1;3
33;7;47;41;22;21;0;0;0;0;0;0;33;7;47;41;22;21;1;1;0;0;1;1;4
32;67;83;33;16;134;0;0;0;0;0;0;32;67;83;33;16;134;1;0;0;1;1;0;3
7;42;92;2;10;28;0;0;0;0;0;0;7;42;92;2;10;28;1;0;0;1;1;1;4
41;31;35;50;41;31;41;31;0;0;41;31;0;0;35;50;0;0;0;0;1;0;0;0;1
77;43;41;38;77;86;77;0;0;0;77;0;0;43;41;38;0;86;0;0;0;0;0;0;0
20;16;63;40;13;48;0;0;0;0;0;0;20;16;63;40;13;48;1;1;0;0;1;0;3
61;57;19;31;30;85;0;0;0;0;0;0;61;57;19;31;30;85;0;0;1;1;1;0;3
84;79;94;25;252;158;0;0;0;0;0;0;84;79;94;25;252;158;0;0;0;1;0;0;1
83;56;41;26;41;28;0;0;41;0;41;0;83;56;0;26;0;28;0;0;0;1;0;1;2
96;85;46;7;64;85;0;85;0;0;0;85;96;0;46;7;64;0;0;0;0;1;0;0;1
30;14;35;15;20;21;0;0;0;0;0;0;30;14;35;15;20;21;1;1;1;1;1;1;6
29;21;74;35;29;14;29;0;0;0;29;0;0;21;74;35;0;14;0;1;0;1;0;1;3
50;54;55;42;50;54;50;54;0;0;50;54;0;0;55;42;0;0;0;0;0;0;0;0;0
74;80;21;27;24;53;0;0;0;0;0;0;74;80;21;27;24;53;0;0;1;1;1;0;3
13;98;40;37;8;294;0;0;0;0;0;0;13;98;40;37;8;294;1;0;0;0;1;0;2
38;30;50;42;57;30;0;30;0;0;0;30;38;0;50;42;57;0;0;0;0;0;0;0;0
87;84;31;12;43;84;0;84;0;0;0;84;87;0;31;12;43;0;0;0;1;1;0;0;2
71;76;73;29;35;228;0;0;0;0;0;0;71;76;73;29;35;228;0;0;0;1;1;0;2
9;12;17;44;4;24;0;0;0;0;0;0;9;12;17;44;4;24;1;1;1;0;1;1;5
77;81;73;47;77;27;77;0;0;0;77;0;0;81;73;47;0;27;0;0;0;0;0;1;1
48;33;39;27;144;16;0;0;0;0;0;0;48;33;39;27;144;16;0;1;0;1;0;1;3
41;79;45;50;41;52;41;0;0;0;41;0;0;79;45;50;0;52;0;0;0;0;0;0;0
18;89;93;5;18;59;18;0;0;0;18;0;0;89;93;5;0;59;0;0;0;1;0;0;1
75;37;21;49;112;37;0;37;0;0;0;37;75;0;21;49;112;0;0;0;1;0;0;0;1
98;81;51;21;98;81;98;81;0;0;98;81;0;0;51;21;0;0;0;0;0;1;0;0;1
51;22;57;6;51;66;51;0;0;0;51;0;0;22;57;6;0;66;0;1;0;1;0;0;2
93;9;20;40;93;6;93;0;0;0;93;0;0;9;20;40;0;6;0;1;1;0;0;1;3
98;41;83;19;98;41;98;41;0;0;98;41;0;0;83;19;0;0;0;0;0;1;0;0;1
34;1;72;32;102;1;0;1;0;0;0;1;34;0;72;32;102;0;1;0;0;1;0;0;2
9;58;43;49;3;58;0;58;0;0;0;58;9;0;43;49;3;0;1;0;0;0;1;0;2
23;36;58;21;34;108;0;0;0;0;0;0;23;36;58;21;34;108;1;1;0;1;1;0;4
53;5;40;30;53;2;53;0;0;0;53;0;0;5;40;30;0;2;0;1;0;1;0;1;3
95;62;66;49;285;62;0;62;0;0;0;62;95;0;66;49;285;0;0;0;0;0;0;0;0
23;91;62;14;11;91;0;91;0;0;0;91;23;0;62;14;11;0;1;0;0;1;1;0;3
37;27;38;8;37;13;37;0;0;0;37;0;0;27;38;8;0;13;0;1;0;1;0;1;3
75;39;51;13;50;19;0;0;0;0;0;0;75;39;51;13;50;19;0;0;0;1;0;1;2
23;69;80;17;7;69;0;69;0;0;0;69;23;0;80;17;7;0;1;0;0;1;1;0;3
21;92;59;38;21;276;21;0;0;0;21;0;0;92;59;38;0;276;0;0;0;0;0;0;0
37;45;93;18;55;90;0;0;0;0;0;0;37;45;93;18;55;90;0;0;0;1;0;0;1
96;82;11;9;32;82;0;82;0;0;0;82;96;0;11;9;32;0;0;0;1;1;1;0;3
61;29;49;19;183;29;0;29;0;0;0;29;61;0;49;19;183;0;0;0;0;1;0;0;1
9;6;3;42;9;9;9;0;0;0;9;9;0;6;3;42;0;0;0;1;1;0;0;0;2
65;60;45;50;32;60;0;60;0;0;0;60;65;0;45;50;32;0;0;0;0;0;1;0;1
94;82;93;48;62;123;0;0;0;0;0;0;94;82;93;48;62;123;0;0;0;0;0;0;0
85;72;38;43;56;144;0;0;0;0;0;0;85;72;38;43;56;144;0;0;0;0;0;0;0
12;18;89;10;36;18;0;18;0;0;0;18;12;0;89;10;36;0;1;0;0;1;1;0;3
41;2;42;6;123;1;0;0;0;0;0;0;41;2;42;6;123;1;0;1;0;1;0;1;3
75;48;21;16;37;16;0;0;0;16;0;16;75;48;21;0;37;0;0;0;1;0;0;0;1
35;98;71;49;35;196;35;0;0;0;35;0;0;98;71;49;0;196;0;0;0;0;0;0;0
60;73;98;25;60;146;60;0;0;0;60;0;0;73;98;25;0;146;0;0;0;1;0;0;1
19;58;98;27;9;58;0;58;0;0;0;58;19;0;98;27;9;0;1;0;0;1;1;0;3
38;43;92;32;38;21;38;0;0;0;38;0;0;43;92;32;0;21;0;0;0;1;0;1;2
92;42;100;16;30;14;0;0;0;0;0;0;92;42;100;16;30;14;0;0;0;1;1;1;3
31;58;34;10;10;116;0;0;0;10;10;0;31;58;34;0;0;116;1;0;1;0;0;0;2
