g;g;g;g;g;g;g;g;g
27;12;13;26;27;13;12;-928,0215515;0,978448526
6;13;27;23;27;13;6;-3261,165436;0,834564147
1;8;10;9,5;10;8;1;-19,64906963;0,350930366
20;3;19;21;20;19;3;164,972725;0,972725018
12;12;22;23;22;12;12;580,2956143;0,295614321
2;6;30;19;30;6;2;-10596,48333;0,516668253
29;9;13;25,5;29;13;9;-3645,290064;0,70993631
10;10;14;17;14;10;10;606,096527;0,096526966
2;16;18;18;18;16;2;0;0
8;10;12;15;12;10;8;406,6632514;0,663251352
24;26;29;39,5;29;26;24;13808,7165;0,716504157
18;24;4;23;24;18;4;-455,6039947;0,396005285
2;14;17;16,5;17;14;2;-73,62409804;0,375901958
17;22;14;26,5;22;17;14;2750,863678;0,863678295
29;17;17;31,5;29;17;17;2950,062996;0,062995885
10;21;28;29,5;28;21;10;1350,3794;0,379399812
25;2;3;15;25;3;2;-6041,85402;0,145979916
25;16;13;27;25;16;13;1600,414946;0,414946194
13;14;2;14,5;14;13;2;35,69893643;0,698936434
12;5;2;9,5;12;5;2;-260,0612158;0,93878425
4;7;29;20;29;7;4;-8371,838508;0,161492241
7;21;3;15,5;21;7;3;-2300,686676;0,313324312
8;14;17;19,5;17;14;8;698,2610935;0,261093494
3;4;27;17;27;4;3;-7504,052239;0,947761376
26;12;24;31;26;24;12;3702,563301;0,563301282
23;10;18;25,5;23;18;10;1467,584311;0,584311356
2;21;28;25,5;28;21;2;-1335,028309;0,97169096
22;27;11;30;27;22;11;2497,614862;0,614862224
16;28;24;34;28;24;16;6297,428046;0,428046433
28;12;23;31,5;28;23;12;3255,943487;0,943487253
27;26;11;32;27;26;11;3563,818177;0,81817718
12;12;25;24,5;25;12;12;-386,699021;0,300979039
23;15;12;25;23;15;12;1300;0
16;25;15;28;25;16;15;2476,423227;0,423227156
18;22;25;32,5;25;22;18;6509,689068;0,689067675
25;7;1;16,5;25;7;1;-5084,124784;0,875215899
26;9;4;19,5;26;9;4;-4671,449513;0,550486767
11;4;22;18,5;22;11;4;-1637,130027;0,869972616
7;24;4;17,5;24;7;4;-3854,38816;0,611840261
22;4;19;22,5;22;19;4;153,5681089;0,568108872
19;21;26;33;26;21;19;6755,605672;0,605672329
26;5;23;27;26;23;5;457,2614132;0,261413198
20;3;4;13,5;20;4;3;-2382,281868;0,718132034
16;30;21;33,5;30;21;16;4431,375064;0,375064349
11;15;10;18;15;11;10;712,7636354;0,763635436
15;20;5;20;20;15;5;0;0
6;4;1;5,5;6;4;1;-7,915076595;0,084923405
2;21;4;13,5;21;4;2;-3010,575987;0,424013011
12;11;10;16,5;12;11;10;653,4773392;0,477339173
7;21;18;23;21;18;7;767,3330437;0,33304373
11;30;29;35;30;29;11;4259,577444;0,577443832
25;16;19;30;25;19;16;4217,463693;0,46369279
9;20;24;26,5;24;20;9;1463,909911;0,909910672
3;1;23;13,5;23;3;1;-4581,311285;0,688715451
28;24;17;34,5;28;24;17;7015,364681;0,364680582
29;23;30;41;30;29;23;15213,82319;0,82318814
7;16;22;22,5;22;16;7;238,9496057;0,949605696
12;25;28;32,5;28;25;12;3944,294361;0,294361202
12;15;4;15,5;15;12;4;79,23220423;0,232204232
20;25;29;37;29;25;20;9927,068449;0,068449447
29;21;28;39;29;28;21;12365,09604;0,096036829
24;20;27;35,5;27;24;20;9027,399054;0,399053974
22;9;22;26,5;22;22;9;1824,256966;0,256965606
29;26;11;33;29;26;11;3538,65059;0,650590267
25;17;9;25,5;25;17;9;354,1138919;0,113891901
27;16;21;32;27;21;16;4978,03174;0,031739553
4;4;26;17;26;4;4;-6271,243657;0,756343436
20;18;25;31,5;25;20;18;5663,700016;0,700015642
19;20;12;25,5;20;19;12;2437,136785;0,136785438
27;12;18;28,5;27;18;12;1387,352855;0,352855373
20;16;19;27,5;20;19;16;3844,539934;0,539934074
30;30;28;44;30;30;28;20801,87069;0,870685109
18;16;4;19;18;16;4;196,1504525;0,150452459
18;12;17;23,5;18;17;12;1993,002381;0,00238138
25;6;22;26,5;25;22;6;712,3289104;0,32891038
5;4;13;11;13;5;4;-278,5964824;0,40351761
